man	tawo
tree	kahoy
foot	tiil
body	lawas
mouse	ilaga
blanket	habol
neck	liog
parent-in-law	ugangan
horn	sungay
knee	tuhod
thorn	tunok
earthquake	linog
honey	dugos
germ	kagaw
spinning top	kasing
smallpox	hangga
bee	buyog
eyebrow	kilay
worm	ulod
anger	ahay
fire	kalayo
bury	lubong
shapeshifting evil creature	aswang
axe	wasay
squash	kalabasa
cooked rice	kan-on
kneel	luhod
inside	sulod
bamboo	kawayan
bamboo grove	kawayanan
nail	lansang
bolo knife	sundang
chapel	kapilya
Chinese cabbage	petsay
thief	kawatan
blow	huyop
ginger	luy-a
I love you	palangga ta ka
grandmother	uyang
teaspoon	kutsarita
begin	sugod
outrigger float	katig
enemy	kaaway
abdomen	tiyan
hook	kawit
right	tuô
cockerel	sumalayhaw
saw	lagari
hot	mainit
back	likod
sneeze	bahon
sweet	matam-is
chair	lingkoranan
forehead	agtang
life	kabuhi
ear	dalunggan
allow	tugot
heavy	mabug-at
act	bagani
bone	tul-an
barn	kamalig
bowl	yahong
Chinese New Year	tikoy
sack	baluyot
surname	Embang
autopsy	awtopsiya
dozen	dosena
Portunus pelagicus	kasag
night	gab-e
noon	ugtu
hundred	gatus
shark	bagis
life preserver	salbabida
arch	baliko
toadstool	amumuklid
but	apang
useless	atatayog
glans penis	atog
law	balidha
vertebra	baliskag
edge	bigki
rooster	sulog
truant	bulakbol
symbol	timaan
vocabulary	bokabularyo
chin	sag-ang
heart	tagipusuon
arm	butkon
sibling	utod
that	adto
syrup	arnibal
agree	uyon
later	gilayon
heart	tagipusoon
chasuble	kasulya
ant	subay
dandruff	adikdik
sexual intercourse	itot
annoying	katalaka
native	Sagaynon
native	Bacolodnon
carabao	karabaw
tomorrow	buas
ceremony	seremonya
snake	man-og
cat	kuring
firefly	ipot-ipot
grasshopper	tibakla
black	maitum
cloud	panganud
tight	hugut
hope	paglaum
pestle	hal-u
calamondin	kalamunding
flat	matápan
