statement	word
befall	tyden
nap	nappen
strike	platten
grieve	greven
kiss	kissen
walk	trippen
nymph	nimphe
jug	lavour
part	knoppen
prophet	prophete
cattle	orf
sift	syften
wooden stick	rodde
befall	bifallen
trouble	dref
sit	sytt
alabaster	alabastre
raise	enhaunsen
astonish	astonen
bend	folden
blood	sanguinolent
treasurer	tresorer
menske	mensk
should	xuld
sea	occean
cuckoo	goke
poultice	pultes
prefix	ȝe-
sieve	sarse
balm of Gilead	balsamum
slaughter	spillen
blood	forbled
consecrate	sacren
capacity	abilite
labour	derven
seat	setten
know	witen
nibling	cosyn
away	at-
shout	shouten
vanguard	aduant garde
test	fraist
fish	fisshen
cinnamon	canel
passe tyme	passe tyme
passe tymes	passe tymes
squat	squatten
silvery	mercurie
milk	mylken
organs	gutte
ȝ	yoȝ
double	twifold
belly	bouk
soften	mollen
choice	kire
rach	rache
salmon	samoun
not of	nof
pullet	pulet
will	wyll
rook	rooke
shape	shappe
blacksmith	smyth
rebracketing	ekename
form	feture
fewter	feuter
chessboard	escheker
music	drem
mistress	maistresse
of who	whos
-teen	-tene
satchel	sachel
together	ysame
elmwood	elmen
aware	ywar
gave	yaf
process	fannen
terror	terrour
terror	tremour
diarrhoea	schit
gate	ȝhat
fill	fillen
Satan	Sathan
ragged	raggy
take out	outnimen
except	out-nome
went	ȝeden
moth	mouȝte
seize	undernimen
come	tocomen
free	fre
household	hird
household	hirdman
German	Duch
worn out	forolded
finish	fulenden
sotted	sotted
turnip	nepe
hazelwood	haselen
trespass	trespas
lengthwise	evenlong
swoon	swow
besende	besenden
hill	bergh
realm	regioun
unavenged	unyolden
juror	jurour
duchy	dutchie
translator	translatour
charter	chartre
kingdom	kineriche
pact	alliaunce
scales	balaunce
branch	braunche
finance	finaunce
governmental	governaunce
villainy	vilanie
encircle	bitrenden
livelihood	lyvelod
potter	pottere
laugh	laughen
bury	bewrien
venomous	venemous
kite	kyte
prove	aproven
out	oute
knowledge	knowleche
cloth	waget
diviner	divinistre
morning	morwe
rhetorician	rethor
adjoining	joinant
wherever	wherso
sponsor	godsib
female guide	gyderesse
unrest	unresty
advocate	oratour
should	schulde
