lap	שויס
you	אײַך
me	מיך
your	דײַן
there	דאָ
hither	אַהער
oh	אוי
who	ווער
whom	וועמען
when	ווען
between	צווישן
world	וועלט
it's	ס׳איז
whole	גאַנץ
play	שפּילן
money	געלט
army	אַרמיי
hold	האַלטן
old	אַלט
bit	ביסל
against	קעגן
connected	פֿאַרבונדן
together	צוזאַמען
tie	פֿאַרבינדן
heart	האַרץ
grow	וואַקסן
so	אַזוי
alone	אַליין
but	אָבער
for	פֿאַר
know	קענען
song	זינגליד
song	זאַנג
candle	ליכט
love	ליבע
family	משפּחה
milky	מילכיק
milkman	מילכיקער
bill	חשבון
oh	אוי וויי
make	מאַכן
snack	נאַשן
bore	נודיען
drag	שלעפּן
fourteen	פֿערצן
fifteen	פֿופֿצן
sixteen	זעכצן
seventeen	זיבעצן
eighteen	אַכצן
nineteen	נײַנצן
twenty	צוואַנציק
thirty	דרײַסיק
forty	פֿערציק
fifty	פֿופֿציק
sixty	זעכציק
seventy	זיבעציק
eighty	אַכציק
ninety	נײַנציק
hundred	הונדערט
thousand	טויזנט
shoulder	אַקסלען
dictionaries	ווערטערביכער
army	אַרמייען
evening	אָוונטן
lake	אָזערעס
breathe	אָטעמען
autumn	אָסיענס
autumn	האַרבסטן
arm	אָרעמס
car	אויטאָס
undertaking	אונטערנעמונגען
translation	איבערזעצונגען
us	אונדז
our	אונדזער
your	אײַער
whose	וועמענס
everything	אַלץ
nothing	גאָרנישט
kill	טייטן
means	מיטל
glass	גלאָז
slippery	גליטש
cut	שנײַדן
tailor	שנײַדער
silk	זײַד
granny	באָבע
gramps	זיידע
פֿון	פֿונעם
sweet	זיס
sugar-sweet	צוקער־זיס
think	טראַכטן
do	טאָן
YIVO	ייִוואָ
bad	בייז
אונטער	אונטערן
פֿאַר	פֿאַרן
בײַ	בײַם
free	פֿרײַ
bread	פּלעצל
Ahasuerus	אחשורוש
again	נאָכאַמאָל
one	מען
became	געוואָרן
become	ווערן
just	נאָר
Shayna	שיינע
property	האָב
bet	וועט
מזל	מזל־טובֿ
ought	זאָלן
ought	זאָלסט
ought	זאָלט
ought	זאָל
such	אַזאַ
such	אַזאַן
value	ווערט
both	סײַ
while	ווײַל
while	ווײַלע
until	ביז
even though	אַפֿילו
through	דורך
through and through	דורך און דורך
literature	ליטעראַטור
president	פּרעזידענט
would	וואָלט
wanted	געוואָלט
Palestine	פּאַלעסטינע
forward	פֿאָרווערטס
Roosevelt	רוזוועלט
musician	מוזיקער
-er	־ער
Jew	ייִדל
-ness	־הייט
during	במשך
saintly	צדיק
שלום	עליכם שלום
shield	שילד
clean	ריין
really	טאַקע
theater	טעאַטער
Land of Israel	ארץ־ישׂראל
world war	וועלט־מלחמה
laugh	לאַכן
Varsovian	וואַרשעווער
spark	פֿונק
long	לאַנג
lamb	לאַם
lamb	לעמל
used to	פֿלעג
see	זען
needle	נאָדל
deserted	וויסט
around	אום
ox	אָקס
religious	פֿרום
ideal	אידעאַל
strange	פֿרעמד
purple	פּורפּור
cabbage	קרויט
spit	שפּײַען
abdomen	בויך
sour	זויער
stomach	מאָגן
ash	אַשבוים
horn	האָרן
eye	אויג
ear	אויער
chest	ברוסטקאַסטן
feather	פֿעדער
head	הויפּט
hair	האָר
knee	קני
marrow	מאַרך
nail	נאָגל
nostril	נאָזלאָך
tooth	צאָן
tooth	ציין
woollen	וואָלן
intestines	געדערעם
coast	ברעג
soap	זייף
advantage	מעלה
אַלטע	אַלטע קאַקערס
old man	אַלטער
shitter	קאַקער
work	אַרבעטן
worker	אַרבעטער
top	דריידל
latke	לאַטקע
Jonathan	יונתן
fry	בראָטן
mark	צייכן
divide	טיילן
last	פֿאַרגאַנגען
meat	קרעפּל
boat	שיפֿל
dust	שטויב
week	וואָך
mouse	מויז
mouse	מײַז
little	ייִנגל
writer	שרײַבער
Lithuania	ליטע
Lithuanian	ליטוויש
Abraham	אַבֿרהם
exhibit	אויסשטעלונג
plucky	כוואַט
chutzpadik	חוצפּהדיק
quiet	שטיל
Ukraine	אוקראַיִן
Ukrainian	אוקראַיִניש
happy	פֿריילעך
